09-11-2020 16:10:30 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:30 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-26.html HTTP/1.1" 200 None
09-11-2020 16:10:30 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:31 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-27.html HTTP/1.1" 200 None
09-11-2020 16:10:31 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:31 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-28.html HTTP/1.1" 200 None
09-11-2020 16:10:31 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:31 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-29.html HTTP/1.1" 200 None
09-11-2020 16:10:31 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:32 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-30.html HTTP/1.1" 200 None
09-11-2020 16:10:32 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:32 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-31.html HTTP/1.1" 200 None
09-11-2020 16:10:32 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:32 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-32.html HTTP/1.1" 200 None
09-11-2020 16:10:32 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:33 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-33.html HTTP/1.1" 200 None
09-11-2020 16:10:33 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:33 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-34.html HTTP/1.1" 200 None
09-11-2020 16:10:33 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:33 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-35.html HTTP/1.1" 200 None
09-11-2020 16:10:34 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:34 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-36.html HTTP/1.1" 200 None
09-11-2020 16:10:34 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:34 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-37.html HTTP/1.1" 200 None
09-11-2020 16:10:34 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:34 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-38.html HTTP/1.1" 200 None
09-11-2020 16:10:34 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
09-11-2020 16:10:35 DEBUG    [connectionpool.py:433] https://books.toscrape.com:443 "GET /catalogue/page-39.html HTTP/1.1" 200 None
09-11-2020 16:10:35 DEBUG    [connectionpool.py:939] Starting new HTTPS connection (1): books.toscrape.com:443
